Widzę	l|s|s|s|r_ieć
Wiem	l|s|s|r_dzieć
o	s
tobie	s|r_y|d|d|d
wszystko	s|s|s|s|s|s|s|s
.	s

-	s
Nie	l|s|s
znasz	s|s|s|r_ć|d
jej	r_o|r_n|d
.	s

Do	l|s
czego	s|d|d|d|s
się	s|s|s
nadajesz	s|s|s|s|r_w|r_a|r_ć|d
?	s

W	l
tej	s|s|r_n
sprawie	s|s|s|s|s|r_a|d
jest	r_b|r_y|r_ć|d
wiele	s|s|s|s|s
niewiadomych	s|s|s|s|s|s|s|s|s|r_a|d|d
.	s

Tutaj	l|s|s|s|s
mieszkała	s|s|s|s|s|s|s|r_ć|d
siostra	s|s|s|s|s|s|s
jednego	s|s|s|d|s|r_n|d
z	s
kierowców	s|s|s|s|s|s|s|r_a|d
.	s

Najpierw	l|s|s|s|s|s|s|s
wynieśli	s|s|s|s|s|s|r_ć|d
matkę	s|s|s|s|r_a
w	s
przezroczystym	s|s|s|s|s|s|s|s|s|s|s|s|s|d
worku	s|s|s|i_e|d
,	s
a	s
potem	s|s|s|s|s
wyprowadzili	s|s|s|s|s|s|s|s|s|s|r_ć|d
Sinalka	s|s|s|s|s|i_e|d
.	s

Rada	l|s|s|s
ma	s|r_ieć
co	s|s
najmniej	s|s|s|s|s|s|s|s
trzy	s|s|s|s
miesiące	s|s|s|s|s|s|s|d
na	s|s
zbieranie	s|s|s|s|s|s|r_ć|d|d
wniosków	s|s|s|s|s|i_e|d|d
o	s
koncesje	s|s|s|s|s|s|s|r_a
.	s

Nie	l|s|s
mamy	s|r_i|r_e|r_ć
dość	s|s|s|s
miejsca	s|s|s|s|s|s|r_e
,	s
by	s|s
wymienić	s|s|s|s|s|s|s|s
rozmaite	s|s|s|s|s|s|s|r_y
preferencje	s|s|s|s|s|s|s|s|s|s|r_a
,	s
możliwości	s|s|s|s|s|s|s|s|r_ć|d
i	s
sposoby	s|s|s|s|r_ó|s|d
.	s

Ale	l|s|s
płód	s|s|s|s
nie	s|s|s
jest	r_b|r_y|r_ć|d
dzieckiem	s|s|s|s|s|s|r_o|d|d
.	s

W	l
każdym	s|s|s|s|s|d
razie	s|s|s|d|d
teraz	s|s|s|s|s
się	s|s|s
jeszcze	s|s|s|s|s|s|s
nie	s|s|s
daje	s|s|r_wa|r_ć
.	s
.	s
.	s

Zaczął	l|s|s|s|s|r_ć
również	s|s|s|s|s|s|s
przejmować	s|s|s|s|s|s|s|s|s|s
ministerstwa	s|s|s|s|s|s|s|s|s|s|s|r_o
.	s

Prawdopodobnie	l|s|s|s|s|s|s|s|s|s|s|s|s|s
nawet	s|s|s|s|s
orzeczenie	s|s|s|s|s|s|s|s|s|s
Trybunału	l|s|s|s|s|s|s|s|d
Konstytucyjnego	l|s|s|s|s|s|s|s|s|s|s|s|r_y|d|d
potwierdzające	s|s|s|s|s|s|s|s|s|s|r_ć|d|d|d
zarzuty	s|s|s|s|s|s|d
nie	s|s|s
odmieni	s|s|s|s|s|s|s|r_ć
losu	s|s|s|d
podatników	s|s|s|s|s|s|s|s|d|d
.	s

Ze	l|d
wschodnim	s|s|s|s|s|s|s|s|d
uporem	s|s|r_ó|s|d|d
i	s
takąż	s|s|s|r_i|s
wytrwałością	s|s|s|s|s|s|s|s|s|r_ć|d|d
badali	s|s|s|s|r_ć|d
każdą	s|s|s|s|r_y
ewentualność	s|s|s|s|s|s|s|s|s|s|s|s
sami	s|s|s|d
,	s
przez	s|s|s|s|s
swych	s|s|r_ó|r_j|d
znajomych	s|s|s|s|s|s|s|d|d
,	s
przez	s|s|s|s|s
znajomych	s|s|s|s|s|s|s|d|d
,	s
aż	s|s
znaleźli	s|s|s|s|s|s|r_ć|d
.	s

Miał	l|s|r_e|r_ć
em	r_by|r_ć
zapas	s|s|s|s|s
na	s|s
dole	s|r_ó|r_ł|d
wózka	s|s|s|i_e|d
.	s

Po	l|s
przerwie	s|s|s|s|s|s|r_a|d
przeważali	s|s|s|s|s|s|s|s|r_ć|d
gospodarze	s|s|s|s|s|s|s|s|s|d
,	s
którzy	s|s|s|s|d|s
trzykrotnie	s|s|s|s|s|s|s|s|s|s|s
mieli	s|s|s|r_ć|d
okazję	s|s|s|s|s|r_a
na	s|s
podwyższenie	s|s|s|s|s|s|s|s|r_y|r_ć|d|d
wyniku	s|s|s|s|s|d
.	s

U	l
siebie	s|s|s|s|s|s
w	s
pokoju	s|s|s|r_ó|s|d
mam	s|r_ie|r_ć
menorę	s|s|s|s|s|r_a
,	s
izraelskie	s|s|s|s|s|s|s|s|s|d
plakaty	s|s|s|s|s|s|d
.	s

Szedł	r_i|r_ś|r_ć|d|d
eś	r_by|r_ć
po	s|s
powierzchni	s|s|s|s|s|s|s|s|s|s|s|r_a
wody	s|s|s|r_a
.	s

Wyprostował	l|s|s|s|s|s|s|s|s|s|r_ć
się	s|s|s
.	s

Ale	l|s|s
we	s|d
wtorek	s|s|s|s|s|s
przyniosę	s|s|s|s|s|s|r_e|r_ś|r_ć
do	s|s
Jurka	s|s|s|i_e|d
.	s

Jewhen	s|s|s|s|s|s
drzemał	s|s|s|s|s|s|r_ć
na	s|s
krześle	s|s|s|s|r_s|r_ł|r_o
przy	s|s|s|s
drzwiach	s|s|s|s|s|d|d|d
.	s

Dygoce	l|s|s|s|r_ta|r_ć
na	s|s
całym	s|s|s|s|d
ciele	s|s|r_a|r_ł|r_o
.	s

Handluje	l|s|s|s|s|r_ow|r_a|r_ć
z	s
powodzeniem	s|s|s|s|s|s|s|s|s|s|d
.	s

W	l
takiej	s|s|s|s|d|d
pozycji	s|s|s|s|s|s|r_a
całe	s|s|s|r_y
ciało	s|s|s|s|s
pochyla	s|s|s|s|s|s|s|r_ć
się	s|s|s
do	s|s
przodu	s|s|s|r_ó|s|d
i	s
wyglądasz	s|s|s|s|s|s|s|r_ć|d
ociężale	s|s|s|s|s|s|s|s
.	s

–	s
rozumiem	s|s|s|s|s|s|s|r_ć
.	s
.	s

Cóż	l|s|s
robić	s|s|s|s|s
?	s

Taki	l|s|s|s
jest	r_b|r_y|r_ć|d
zresztą	s|s|s|s|s|s|s
jej	r_o|r_n|d
sens	s|s|s|s
i	s
wartość	s|s|s|s|s|s|s
adaptacyjna	s|s|s|s|s|s|s|s|s|s|r_y
.	s

Tu	l|s
potrafią	s|s|s|s|s|s|s|r_ć
dobrze	s|s|s|s|s|s
oskubać	s|s|s|s|s|s|s
marynarzy	s|s|s|s|s|s|s|s|d
.	s

Roboty	l|s|s|s|s|s
finansowało	s|s|s|s|s|s|s|s|s|r_ć|d
w	s
całości	s|s|s|s|s|r_ć|d
uzdrowisko	s|s|s|s|s|s|s|s|s|s
.	s

Lecz	l|s|s|s
jakimi	s|s|s|s|d|d
kategoriami	s|s|s|s|s|s|s|s|s|d|d
myślą	s|s|s|s|r_eć
Anglicy	s|s|s|s|s|r_k|d
?	s

Straszny	l|s|s|s|s|s|s|s
ziąb	s|s|s|s
w	s
nawie	s|s|s|r_a|d
,	s
nawet	s|s|s|s|s
anioł	s|s|s|s|s
ze	s|d
środkowego	s|s|s|s|s|s|s|r_y|d|d
pilastru	s|s|s|s|s|s|i_e|d
wydaje	s|s|s|s|r_wa|r_ć
się	s|s|s
drżeć	s|s|s|s|s
z	s
chłodu	s|s|s|r_ó|s|d
.	s

-	s
Będzie	l|r_y|r_ć|d|d|d
się	s|s|s
Pan	l|s|s
opierał	s|s|s|s|s|s|r_ć
na	s|s
betonie	s|s|s|s|s|d|d
?	s

Jegomość	l|s|s|s|s|s|s|s
z	s
robaczkiem	s|s|s|s|s|s|d|d|s|r_k
wyciągnął	s|s|s|s|s|s|s|s|r_ć
antenki	s|s|s|s|s|s|r_a
.	s

Sytuacja	l|s|s|s|s|s|s|s
była	s|s|r_ć|d
niejasna	s|s|s|s|s|s|s|r_y
.	s

Wyprawa	l|s|s|s|s|s|s
,	s
zmuszona	s|s|s|s|r_i|r_ć|d|d
do	s|s
przyjęcia	s|s|s|s|s|r_ą|r_ć|d|d
walki	s|s|s|s|r_a
,	s
rozbiła	s|s|s|s|s|r_ć|d
się	s|s|s
na	s|s
wiele	s|s|s|s|s
części	s|s|s|s|r_ć|d
.	s

Uderzył	l|s|s|s|s|s|r_ć
kastetem	s|s|s|s|s|s|d|d
w	s
samochodzie	s|s|s|s|s|s|r_ó|s|d|d|d
,	s
potem	s|s|s|s|s
udusił	s|s|s|s|s|r_ć
.	s

-	s
Znam	l|s|s|r_ć
teczkę	s|s|s|s|s|r_a
brata	s|s|s|s|d
i	s
przyjaciela	s|s|s|s|s|s|s|s|s|s|d
.	s

Profesor	l|s|s|s|s|s|s|s
z	s
dużym	s|s|s|s|d
sceptycyzmem	s|s|s|s|s|s|s|s|s|s|d|d
spogląda	s|s|s|s|s|s|s|s|r_ć
w	s
przyszłość	s|s|s|s|s|s|s|s|s|s
.	s

Nie	l|s|s
sądzi	s|s|s|s|s|r_ć
pan	s|s|s
,	s
że	s|s
te	s|s|r_n
kłamstwa	s|s|s|s|s|s|s|r_o
kompromitują	s|s|s|s|s|s|s|s|s|r_ow|r_a|r_ć
naukę	s|s|s|s|r_a
scientologiczną	s|s|s|s|s|s|s|s|s|s|s|s|s|s|r_y
?	s

-	s
Kilka	l|s|s|s|s
godzin	s|s|s|s|s|s|r_a
spędziła	s|s|s|s|s|s|r_ć|d
m	r_być
przed	s|s|s|s|s
lustrem	s|s|s|s|s|r_o|d
zastanawiając	s|s|s|s|s|s|s|s|s|s|r_ć|d|d
się	s|s|s
,	s
co	s|s
włożyć	s|s|s|s|s|s
.	s

Co	l|s
czynię	s|s|s|s|s|r_ć
dla	s|s|s
Chrystusa	s|s|s|s|s|s|s|s|d
?	s

–	s
Ehm	l|s|s
,	s
nie	s|s|s
wiem	s|s|s|r_dzieć
tak	s|s|s
naprawdę	s|s|s|s|s|s|s|s
,	s
Komediancie	l|s|s|s|s|s|s|s|r_t|d|d
.	s

pijesz	s|s|r_ć|d|d|d
taką	s|s|s|r_i
wodę	s|s|s|r_a
?	s

Niech	l|s|s|s|s
was	s|r_y|d
Bóg	s|s|s
prowadzi	s|s|s|s|s|s|s|s|r_ć
!	s

Dziewczynka	l|s|s|s|s|s|s|s|s|s|s
ma	s|r_ieć
katar	s|s|s|s|s
i	s
bierze	s|d|d|s|r_a|r_ć
antybiotyki	s|s|s|s|s|s|s|s|s|s|d
.	s

-	s
Też	l|s|s
musiał	s|s|s|s|r_e|r_ć
em	r_by|r_ć
się	s|s|s
uśmiechnąć	s|s|s|s|s|s|s|s|s|s
.	s

Głupiego	l|s|s|s|s|d|d|d
samochodu	s|s|s|s|s|s|r_ó|s|d
na	s|s
parę	s|s|s|s
minut	s|s|s|s|s|r_a
zostawić	s|s|s|s|s|s|s|s
nie	s|s|s
można	s|s|s|s|s
,	s
to	s|s
się	s|s|s
nazywa	s|s|s|s|s|s|r_ć
MO	s|s
?	s

Bożena	s|s|s|s|s|s
też	s|s|s
nie	s|s|s
ma	s|r_ieć
z	s
czego	s|d|d|d|s
zwrócić	s|s|s|s|s|s|s
pożyczki	s|s|s|s|s|s|s|r_a
.	s

Ostatnie	l|s|s|s|s|s|s|d
tony	s|s|s|d
koncertu	s|s|s|s|s|s|s|d
umilkły	s|s|s|s|s|r_ną|r_ć
.	s

Zwykle	l|s|s|s|s|s
jest	r_b|r_y|r_ć|d
to	s|s
niemożliwe	s|s|s|s|s|s|s|s|s|r_y
do	s|s
zrobienia	s|s|s|s|s|r_ć|d|d|d
.	s

–	s
przemieniło	s|s|s|s|s|s|s|s|s|r_ć|d
.	s

-	s
Odwieźć	l|s|s|s|s|s|s
cię	r_t|r_y|d
?	s

Funkcjonariusze	l|s|s|s|s|s|s|s|s|s|s|s|s|s|d
policji	s|s|s|s|s|s|r_a
przypuszczają	s|s|s|s|s|s|s|s|s|s|s|r_ć|d
,	s
że	s|s
ofiara	s|s|s|s|s|s
zasnęła	s|s|s|s|r_ą|r_ć|d
.	s

-	s
Ale	l|s|s
opłaciło	s|s|s|s|s|s|r_ć|d
się	s|s|s
.	s

Zawsze	l|s|s|s|s|s
bronili	s|s|s|s|s|r_ć|d
śmy	r_b|r_y|r_ć
interesów	s|s|s|s|s|s|s|d|d
świata	s|s|s|s|s|d
pracy	s|s|s|s|r_a
.	s

Boguś	s|s|s|s|s
mieszka	s|s|s|s|s|s|s|r_ć
tu	s|s
i	s
pracuje	s|s|s|s|r_ow|r_a|r_ć
.	s

Żeby	l|s|s|s
umiał	s|s|s|r_e|r_ć
sprostać	s|s|s|s|s|s|s|s
zadaniom	s|s|s|s|s|s|r_e|d
typowo	s|s|s|s|s|s
męskim	s|s|s|s|s|d
.	s

Nie	l|s|s
zwolnił	s|s|s|s|s|s|r_ć
przed	s|s|s|s|s
60-stopniowym	s|s|s|s|s|s|s|s|s|s|s|s|d
zakrętem	s|s|s|s|s|s|d|d
.	s

Pan	l|s|s
chciał	s|s|s|s|r_e|r_ć
by	s|s
szefa	s|s|s|s|d
podporządkować	s|s|s|s|s|s|s|s|s|s|s|s|s|s
bezpośrednio	s|s|s|s|s|s|s|s|s|s|s|s
prezydentowi	s|s|s|s|s|s|s|s|s|d|d|d
.	s

Nie	l|s|s
ma	r_by|r_ć
takiego	s|s|s|s|d|d|d
tematu	s|s|s|s|s|d
.	s

Była	l|s|r_ć|d
to	s|s
wieś	s|s|s|s
Dolsko	s|s|s|s|s|s
.	s

-	s
Ach	l|s|s
,	s
panie	s|s|s|d|d
Aleksandrze	s|s|s|s|s|s|s|s|i_e|d|d
,	s
sama	s|s|s|d
już	s|s|s
nie	s|s|s
wiem	s|s|s|r_dzieć
.	s

Bo	l|s
już	s|s|s
mamy	s|r_i|r_e|r_ć
wiosnę	s|s|s|s|s|r_a
,	s
a	s
dopiero	s|s|s|s|s|s|s
się	s|s|s
o	s
tym	s|r_e|r_n
wszystkim	s|s|s|s|s|s|s|r_o|d
mówi	s|s|s|s|r_ć
.	s

Obecnie	l|s|s|s|s|s|s
trwa	s|s|s|s|r_ć
sadzenie	s|s|s|s|d|d|s|r_ć
późniejszych	s|s|s|s|d|d|d|d|d|s|d|d
odmian	s|s|s|s|s|s|r_a
.	s

Nad	l|s|s
falami	s|s|s|s|d|d
sterczał	s|s|s|s|s|s|r_e|r_ć
jeszcze	s|s|s|s|s|s|s
tylko	s|s|s|s|s
wystrzelający	s|s|s|s|s|s|s|s|s|r_ć|d|d|d
pionowo	s|s|s|s|s|s|s
dziób	s|s|s|s|s
.	s

Skoczył	l|s|s|s|s|s|r_ć
.	s

-	s
Katolik	l|s|s|s|s|s|s
nie	s|s|s
musi	s|s|s|s|r_eć
wierzyć	s|s|s|s|s|s|s
w	s
cuda	s|s|s|d
?	s

Ranny	l|s|s|s|s
będzie	s|r_y|r_ć|d|d|d
wymagał	s|s|s|s|s|s|r_ć
natychmiastowej	s|s|s|s|s|s|s|s|s|s|s|s|s|r_y|d
pomocy	s|s|s|s|s|d
.	s

W	l
intymną	s|s|s|s|s|s|r_y
narrację	s|s|s|s|s|s|s|r_a
wdzierają	s|s|s|s|s|s|s|r_ć|d
się	s|s|s
echa	s|s|s|r_o
bośniackiej	s|s|s|s|s|s|s|s|s|d|d
tragedii	s|s|s|s|s|s|s|r_a
.	s

Do	l|s
komendy	s|s|s|s|s|s|r_a
policji	s|s|s|s|s|s|r_a
w	s
Olsztynie	s|s|s|s|s|s|s|d|d
zgłosiła	s|s|s|s|s|s|r_ć|d
się	s|s|s
matka	s|s|s|s|s
aktorki	s|s|s|s|s|s|r_a
.	s

Wracając	l|s|s|s|s|r_ć|d|d
mijamy	s|s|s|s|r_ć|d
wrak	s|s|s|s
samochodu	s|s|s|s|s|s|r_ó|s|d
.	s

Dlatego	l|s|s|s|s|s|s
nie	s|s|s
musi	s|s|s|s|r_eć
znać	s|s|s|s
wszystkich	s|s|s|s|s|s|i_e|d|d|d
lokalnych	s|s|s|s|s|s|s|d|d
niuansów	s|s|s|s|s|s|d|d
.	s

3-letnia	s|s|s|s|s|s|s|s
Joasia	s|s|s|s|s|s
wybierała	s|s|s|s|s|s|s|r_ć|d
się	s|s|s
z	s
dziadkiem	s|s|s|s|s|d|d|s|r_k
na	s|s
weekend	s|s|s|s|s|s|s
.	s

A	l
panowie	s|s|s|d|d|d|d
maja	s|r_i|r_e|r_ć
w	s
tej	s|s|r_n
kwestii	s|s|s|s|s|s|r_a
bardzo	s|s|s|s|s|s
duże	s|s|s|r_y
naczenie	i_z|s|s|s|s|s|s|s
.	s
.	s
.	s

Kleks	l|s|s|s|s
kapnął	s|s|s|s|s|r_ć
na	s|s
stenogram	s|s|s|s|s|s|s|s|s
Lewina	s|s|s|s|s|d
.	s

Firma	l|s|s|s|s
Kupiec	s|s|s|s|s|s
i	s
inni	s|s|s|r_y
martwią	s|s|s|s|s|s|r_ć
się	s|s|s
też	s|s|s
o	s
przyszłość	s|s|s|s|s|s|s|s|s|s
.	s

My	l|s
je	r_o|r_n
wreszcie	s|s|s|s|s|s|s|s
sfinalizowali	s|s|s|s|s|s|s|s|s|s|s|r_ć|d
śmy	r_b|r_y|r_ć
.	s

Wnet	l|s|s|s
potem	s|s|s|s|s
zaczyna	s|s|s|s|s|s|s|r_ć
wiać	s|s|s|s
.	s

Skąd	l|s|s|s
to	s|s
pani	s|s|s|s
przyszło	s|s|s|s|r_j|r_ś|r_ć|d
do	s|s
głowy	s|s|s|s|r_a
?	s

Na	l|s
sali	s|s|s|r_a
podniósł	s|s|s|s|s|r_e|r_ś|r_ć
się	s|s|s
szum	s|s|s|s
,	s
szmer	s|s|s|s|s
,	s
krzyk	s|s|s|s|s
.	s

Nie	l|s|s
mam	s|r_ie|r_ć
pojęcia	s|s|s|s|s|s|r_e
,	s
dlaczego	s|s|s|s|s|s|s|s
ignorują	s|s|s|s|s|r_ow|r_a|r_ć
fakty	s|s|s|s|d
.	s

Nie	l|s|s
wiadomo	s|s|s|s|s|s|s
,	s
czy	s|s|s
wtedy	s|s|s|s|s
jeszcze	s|s|s|s|s|s|s
żyła	s|s|r_ć|d
.	s

Dębski	s|s|s|s|s|s
rozejrzał	s|s|s|s|s|s|s|r_e|r_ć
się	s|s|s
po	s|s
kabinie	s|s|s|s|s|r_a|d
.	s

Na	l|s
to	s|s
decyduję	s|s|s|s|s|r_ow|r_a|r_ć
się	s|s|s
teraz	s|s|s|s|s
,	s
dzisiaj	s|s|s|s|s|s|s
.	s

Krzywulą	l|s|s|s|s|s|s|r_a
wędrowca	s|s|s|s|s|s|i_ie|d
podwajał	s|s|s|s|s|s|s|r_ć
stare	s|s|s|s|r_y
swe	s|s|r_ój
kroki	s|s|s|s|d
.	s

-	s
Ja	l|s
pana	s|s|s|d
znam	s|s|s|r_ć
.	s

–	s
Ja	l|s
tylko	s|s|s|s|s
chcę	s|s|s|r_ieć
się	s|s|s
zobaczyć	s|s|s|s|s|s|s|s
z	s
więźniarką	s|s|s|s|s|s|s|s|s|r_a
Gertrudą	s|s|s|s|s|s|s|r_a
von	s|s|s
Mogmitz	s|s|s|s|s|s|s
.	s

On	l|s
na	s|s
pana	s|s|s|d
pracuje	s|s|s|s|r_ow|r_a|r_ć
.	s

Niewątpliwie	l|s|s|s|s|s|s|s|s|s|s|s
jest	r_b|r_y|r_ć|d
to	s|s
jedyna	s|s|s|s|s|r_y
użytkowa	s|s|s|s|s|s|s|r_y
wartość	s|s|s|s|s|s|s
porozumienia	s|s|s|s|s|s|s|s|s|s|s|r_e
sprzed	s|s|s|s|s|s
lat	r_r|r_o|r_k
.	s

"	s
Daj	l|s|r_ć
spokój	s|s|s|s|s|s
,	s
gdzie	s|s|s|s|s
będziesz	s|r_y|r_ć|d|d|d|d|d
mieszkać	s|s|s|s|s|s|s|s
?	s
"	s

Chłopiec	l|s|s|s|s|s|s|s
nie	s|s|s
odpowiada	s|s|s|s|s|s|s|s|s|r_ć
.	s

Naraz	l|s|s|s|s
wszystko	s|s|s|s|s|s|s|s
się	s|s|s
zmieniło	s|s|s|s|s|s|r_ć|d
,	s
wszystkie	s|s|s|s|s|s|i_e|d|d
wartości	s|s|s|s|s|s|r_ć|d
mojego	s|r_ó|s|d|d|d
życia	s|s|s|s|r_e
.	s

Cały	l|s|s|s
świat	s|s|s|s|s
czekał	s|s|s|s|s|r_ć
na	s|s
tę	s|r_en
decyzję	s|s|s|s|s|s|r_a
.	s

Józef	s|s|s|s|s
Mrozek	s|s|s|s|s|s
utonął	s|s|s|s|s|r_ć
.	s

-	s
Mogę	l|r_ó|r_c|d
pana	s|s|s|d
wsadzić	s|s|s|s|s|s|s
.	s

Żonę	l|s|s|r_a
ma	s|r_ieć
w	s
Stanach	s|s|s|s|r_y|d|d
Zjednoczonych	s|s|s|s|s|s|s|s|s|s|s|d|d
,	s
dorosłym	s|s|s|s|s|s|s|d
dzieciom	s|s|s|s|s|r_k|s|d
powodzi	s|s|s|s|s|s|s|r_ć
się	s|s|s
dobrze	s|s|s|s|s|s
.	s

gdzieś	s|s|s|s|s|s
tam	s|s|s
ktoś	s|s|s|s
coś	s|s|s
powiedział	s|s|s|s|s|s|s|s|r_e|r_ć
.	s
.	s

Nie	l|s|s
tylko	s|s|s|s|s
ja	s|s
mam	s|r_ie|r_ć
czarne	s|s|s|s|s|r_y
myśli	s|s|s|s|d
.	s

-	s
Wy	l|s
zarabiacie	s|s|s|s|s|s|s|r_ć|d|d
na	s|s
mieszkanie	s|s|s|s|s|s|s|s|s|s
w	s
Polsce	s|s|s|s|r_k|r_a
?	s

Chcą	l|s|s|r_ieć
nam	r_m|r_y|d
obciąć	s|s|s|s|s|s
200	s|s|s
ton	s|s|s|r_a
i	s
dać	s|s|s
gorszy	r_z|r_ł|d|d|d|s
.	s

Rozumisz	l|s|s|s|s|s|r_e|r_ć
,	s
Dziunia	s|s|s|s|s|s|s
?	s

Wiktor	s|s|s|s|s|s
szarpnął	s|s|s|s|s|s|s|r_ć
zasuwkę	s|s|s|s|s|s|r_a
.	s

Lekarze	l|s|s|s|s|s|d
opatrzyli	s|s|s|s|s|s|s|r_ć|d
stłuczenia	s|s|s|s|s|s|s|s|s|r_e
,	s
zwichnięcia	s|s|s|s|s|s|s|s|s|s|r_e
i	s
złamania	s|s|s|s|s|s|s|r_e
u	s
14	s|s
pacjentów	s|s|s|s|s|s|s|d|d
.	s

Lekarze	l|s|s|s|s|s|d
zdecydowali	s|s|s|s|s|s|s|s|s|r_ć|d
się	s|s|s
na	s|s
operację	s|s|s|s|s|s|s|r_a
,	s
ale	s|s|s
brakowało	s|s|s|s|s|s|s|r_ć|d
dawcy	s|s|s|s|r_a
.	s

Nie	l|s|s
czekając	s|s|s|s|s|r_ć|d|d
na	s|s
odpowiedź	s|s|s|s|s|s|s|s|s
siada	s|s|s|s|s|r_ć
.	s

U	l
małych	s|s|s|s|d|d
pacjentów	s|s|s|s|s|s|s|d|d
lekarze	s|s|s|s|s|s|d
stwierdzali	s|s|s|s|s|s|s|s|s|r_ć|d
najczęściej	d|d|d|s|s|s|r_s|r_t|r_o|d|d
anginę	s|s|s|s|s|r_a
i	s
nieżyt	s|s|s|s|s|s
górnych	s|s|s|s|s|d|d
dróg	s|s|r_o|s|r_a
oddechowych	s|s|s|s|s|s|s|s|s|d|d
.	s

–	s
Masz	l|r_i|r_e|r_ć
takie	s|s|s|s|d
męskie	s|s|s|s|s|d
dłonie	s|s|s|r_ń|d|d
,	s
January	s|s|s|s|s|s|s
.	s

Ty	l|s
coś	s|s|s
ćwiczysz	s|s|s|s|s|s|r_ć|d
?	s

-	s
Co	l|s
polski	s|s|s|s|s|s
Kościół	l|s|s|s|s|s|s
wniesie	s|s|s|s|r_ś|r_ć|d
do	s|s
Europy	s|s|s|s|s|r_a
narodów	s|s|s|r_ó|s|d|d
?	s

toż	s|s|s
do	s|s
roku	s|s|s|d
żadnej	s|s|s|d|s|r_n
nocy	s|s|s|d
nie	s|s|s
przespała	s|s|s|s|s|s|s|r_ć|d
m	r_być
.	s
.	s

Z	l
bata	s|s|s|d
strzelać	s|s|s|s|s|s|s|s
mogę	s|r_ó|r_c|d
.	s

Wiemy	l|s|s|r_dzie|r_ć
,	s
że	s|s
wszystko	s|s|s|s|s|s|s|s
skończyło	s|s|s|s|s|s|s|r_ć|d
się	s|s|s
dobrze	s|s|s|s|s|s
.	s

Zatrzymuje	l|s|s|s|s|s|s|r_yw|r_a|r_ć
się	s|s|s
przed	s|s|s|s|s
innymi	s|s|s|s|d|d
drzwiami	s|s|s|s|s|d|d|d
i	s
puka	s|s|s|s|r_ć
w	s
umówiony	s|s|s|s|s|r_ć|d|d
sposób	s|s|s|s|s|s
.	s

Chociaż	l|s|s|s|s|s|s
faktem	s|s|s|s|d|d
jest	r_b|r_y|r_ć|d
,	s
że	s|s
Hubal	s|s|s|s|s
okropnie	s|s|s|s|s|s|s|s
przeżył	s|s|s|s|s|s|r_ć
te	s|s|r_n
zdarzenia	s|s|s|s|s|s|s|s|r_e
.	s

Bóstwo	l|s|s|s|s|s
wysłuchało	s|s|s|s|s|s|s|s|r_ć|d
prośby	s|s|s|s|s|r_a
o	s
zesłanie	s|s|s|s|s|r_ć|d|d
mocy	s|s|s|d
.	s

Lenin	s|s|s|s|s
chciał	s|s|s|s|r_e|r_ć
,	s
żeby	s|s|s|s
kucharka	s|s|s|s|s|s|s|s
mogła	s|r_ó|r_c|d|d
rządzić	s|s|s|s|s|s|s
państwem	s|s|s|s|s|s|r_o|d
.	s

Spluwę	l|s|s|s|s|r_a
włożę	s|s|s|s|r_yć
do	s|s
buzi	s|s|s|s|r_a
,	s
nacisnę	s|s|s|s|s|s|r_ąć
spust	s|s|s|s|s
.	s

Warto	l|s|s|s|s
by	s|s
tak	s|s|s
z	s
czasem	s|s|s|s|d|d
mieszkanie	s|s|s|s|s|s|s|s|s|s
sobie	s|r_ie|s|s|s
w	s
mieście	s|s|r_a|r_s|r_t|r_o|d
zafundować	s|s|s|s|s|s|s|s|s|s
.	s

Jutro	l|s|s|s|s
nigdy	s|s|s|s|s
nie	s|s|s
umiera	s|s|s|s|s|s|r_ć
.	s

Seans	l|s|s|s|s
był	s|s|r_ć
przerwany	s|s|s|s|s|s|s|r_ć|d
.	s

Artyści	l|s|s|s|r_s|r_t|r_a
poprowadzą	s|s|s|s|s|s|s|s|s|r_ić
biesiadę	s|s|s|s|s|s|s|r_a
śląsko	s|s|s|s|s|r_i
-	s
bawarską	s|s|s|s|s|s|s|r_i
.	s

Konsorcjum	l|s|s|s|s|s|s|s|s|s
umożliwiło	s|s|s|s|s|s|s|s|r_ć|d
by	s|s
wspólne	s|s|s|s|s|s|r_y
finansowanie	s|s|s|s|s|s|s|s|s|r_ć|d|d
inwestycji	s|s|s|s|s|s|s|s|s|r_a
.	s

Ostatecznie	l|s|s|s|s|s|s|s|s|s|s
mogł	s|r_ó|r_c|d
em	r_by|r_ć
przyjść	s|s|s|s|s|s|s
z	s
donosem	s|s|s|s|s|d|d
wcześniej	s|s|s|s|s|s|s|s|d
i	s
nie	s|s|s
wchodzić	s|s|s|s|s|s|s|s
w	s
to	s|s
tak	s|s|s
głęboko	s|s|s|s|s|s|s
.	s

Niestety	l|s|s|s|s|s|s|s
,	s
Sąd	l|s|s
Rejonowy	l|s|s|s|s|s|s|s
w	s
Kutnie	s|s|s|s|r_o|d
nie	s|s|s
jest	r_b|r_y|r_ć|d
w	s
stanie	s|s|s|s|d|d
takowego	s|s|s|s|s|r_y|d|d
uzasadnienia	s|s|s|s|s|s|s|s|s|s|s|r_e
wydać	s|s|s|s|s
